caption_id,caption_text,make,model,year_text,from_year,to_year,complete_bodytype,doors,body_type,series,badge,EXO PART NUMBER,EXO PART NUMBER,EXO PART NUMBER,EXO PART NUMBER,EXO PART NUMBER,EXO PART NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNTK4S,HOLDEN BARINA 4 DOOR SEDAN TK 1/06 - 9/11,HOLDEN,BARINA,01/06 - 09/11,2006,2011,4DR SEDAN,4,SEDAN,,,HNTK LFW/GBX,HNTK LFW/M,DWKL FD/LH G,DWKL FD/RH G,DWKL FD/LH G SK,DWKL FD/RH G SK,HNTK4S RD/LH G,HNTK4S RD/RH G,HNTK4S RW/TGHX,HNTK4S RW/TGHX SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNMB5,"HOLDEN BARINA 5 DOOR HATCH MB 2/85 - 9/86, ML 9/86 - 2/89",HOLDEN,BARINA,02/85 - 02/89,1985,1989,5DR HATCH,5,HATCH,,,SZMB5 FD/LH C,SZMB5 FD/RH C,SZMB5 RD/LH C,SZMB5 RD/RH C,SZMB5 RQ/LH C,SZMB5 RQ/RH C,SZMB5 RW/TGHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNTK5H-05,HOLDEN BARINA 5 DOOR HATCH TK 12/05 - 6/08,HOLDEN,BARINA,12/05 - 06/08,2005,2008,5DR HATCH,5,HATCH,,,DWKL LFW/GBX,DWKL FD/LH G,DWKL FD/RH G,DWKL FD/LH G SK,DWKL FD/RH G SK,DWKL5 RD/LH G,DWKL5 RD/RH G,DWKL5 OW/LHX G,DWKL5 OW/RHX G,DWKL5 RW/TGHX,DWKL5 RW/TGHX SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNTK5H-08,HOLDEN BARINA 5 DOOR HATCH TK 7/08 - 9/11,HOLDEN,BARINA,07/08 - 09/11,2008,2011,5DR HATCH,5,HATCH,,,HNTK LFW/GBX,HNTK LFW/M,DWKL FD/LH G,DWKL FD/RH G,DWKL FD/LH G SK,DWKL FD/RH G SK,HNTK5H RD/LH G,HNTK5H RD/RH G,DWKL5 OW/LHX G,DWKL5 OW/RHX G,DWKL5 RW/TGHX,DWKL5 RW/TGHX SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HN3TF4,HOLDEN BARINA 5 DOOR HATCH TM (KL3TF48...) 10/11 on,HOLDEN,BARINA,10/11 on,2011,2021,5DR HATCH,5,HATCH,,,HN3TF4 LFW/GBX,HN3TF4 FD/LH G,HN3TF4 FD/RH G,HN3TF4 FD/LH G SK,HN3TF4 FD/RH G SK,HN3TF4 RD/LH G,HN3TF4 RD/RH G,HN3TF4 RD/LH G SK,HN3TF4 RD/RH G SK,HN3TF4 RW/TGHX,HN3TF4 RW/TGHX SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNMF4,"HOLDEN BARINA 5 DOOR HATCH MF 1/89 - 8/91, MG MH 8/91 - 4/94",HOLDEN,BARINA,01/89 - 04/94,1989,1994,5DR HATCH,5,HATCH,,,SZMF4 FD/LH G,SZMF4 FD/RH G,SI052-060-001,SI052-060-000,SZMF5 RD/LH G,SZMF5 RD/RH G,SZMF5 RQ/LH G,SZMF5 RQ/RH G,SZMF5 SW/LHX G,SZMF5 SW/RHX G,SZMF5 RW/TGHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNSB5H,HOLDEN BARINA 5 DOOR HATCH SB (78RC) 4/94 - 12/00,HOLDEN,BARINA,04/94 - 12/00,1994,2000,5DR HATCH,5,HATCH,,,HNSB LFW/GBX,HNSB5H FD/LH G,HNSB5H FD/RH G,HNSB5H RD/LH G,HNSB5H RD/RH G,HNSB5H OW/LHX GY SK,HNSB5H OW/RHX GY SK,HNSB5I RW/TGHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNAC5H,HOLDEN BARINA 5 DOOR HATCH XC (WOLO XC F68) 3/01 - 11/05,HOLDEN,BARINA,03/01 - 11/05,2001,2005,5DR HATCH,5,HATCH,,,HNAC LFW/M,HNAC5H FD/LH G,HNAC5H FD/RH G,HNAC5H RD/LH G,HNAC5H RD/RH G,HNAC5H OW/LHX G,HNAC5H OW/RHX G,HNAC3H RW/TGHX SK,HNAC3H RW/TGHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNTK3H-11,HOLDEN BARINA 3 DOOR HATCH TK 7/08 - 12/10,HOLDEN,BARINA,7/08 - 12/10,2008,2010,3DR HATCH,3,HATCH,,,HNTK LFW/GBX,HNTK LFW/M,HNTK3H FD/LH G,HNTK3H FD/RH G,HNTK3H SW/LHX G,HNTK3H SW/RHX G,DWKL5 RW/TGHX,DWKL5 RW/TGHX SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HN3TF4-SED,HOLDEN BARINA 4 DOOR SEDAN TM (KL3TA69...) 11/12 on,HOLDEN,BARINA,11/12 on,2012,2021,4DR SEDAN,4,SEDAN,,,HN3TF4 LFW/GBX,HN3TF4 FD/LH G,HN3TF4 FD/RH G,HN3TF4 FD/LH G SK,HN3TF4 FD/RH G SK,HN3TA6 RD/LH G,HN3TA6 RD/RH G,HN3TA6 RD/LH G SK,HN3TA6 RD/RH G SK,HN3TA6 RQ/LHX G,HN3TA6 RQ/RHX G,HN3TA6 RW/TGHX,HN3TA6 RW/TGHX SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HN3MF4,HOLDEN BARINA SPARK 5 DOOR HATCH TK MJ (KL3MF48D...) 10/10 - 12/15,HOLDEN,BARINA SPARK,10/10 - 12/15,2010,2015,5DR HATCH,5,HATCH,,,HN3MF4 LFW/GBX,HN3MF4 FV/LH G,HN3MF4 FV/RH G,HN3MF4 FV/LH G SK,HN3MF4 FV/RH G SK,HN3MF4 FD/LH G,HN3MF4 FD/RH G,HN3MF4 FD/LH G SK,HN3MF4 FD/RH G SK,HN3MF4 RD/LH G,HN3MF4 RD/RH G,HN3MF4 RD/LH G SK,HN3MF4 RD/RH G SK,HN3MF4 RD/LH C SK,HN3MF4 RD/RH C SK,HN3MF4 RW/TGHX,HN3MF4 RW/TGHX SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HN3DC4,HOLDEN BARINA SPARK 5 DOOR HATCH MP (KL3DC48A4HC...) 1/16 on,HOLDEN,BARINA SPARK,1/16 on,2016,2021,5DR HATCH,5,HATCH,,,HN3DC4 LFW/MY,HN3DC4 FD/LH G,HN3DC4 FD/RH G,HN3DC4 RD/LH G,HN3DC4 RD/RH G,HN3DC4 RW/TGHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNVF-CALAIS,HOLDEN CALAIS 4 DOOR SEDAN 5/13 - 10/17,HOLDEN,CALAIS,05/13 - 10/17,2013,2017,4DR SEDAN,4,SEDAN,,,HNG1E4 LFW/GBXY,HNVE FD/LH G,HNVE FD/RH G,HNG1E FD/LH G,HNG1E FD/RH G,HNG1E RD/LH G,HNG1E RD/RH G,HNVE4S RD/LH G,HNVE4S RD/RH G,HNVE4S RQ/LH 2GY,HNVE4S RQ/RH 2GY,HN111-062-000,HN111-062-001,HN111-063-000,HN111-063-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNJB-SDN,"HOLDEN CAMIRA JB 8/82-11/84, JD 11/48-4/87, JE 4/87-8/89",HOLDEN,CAMIRA,08/82 - 08/89,1982,1989,5DR WAGON,5,WAGON,,,HNJB LFW,HNJB FD/LH G,HNJB FD/RH G,HNJBS RW/TGHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNJB-WGN,"HOLDEN CAMIRA JB, JD, JE WAGON 82 - 89",HOLDEN,CAMIRA,08/82 - 08/89,1982,1989,4DR SEDAN,4,SEDAN,,,HNJB LFW,HNJB FD/LH G,HNJB FD/RH G,HNJBW RD/LH G,HNJBW RD/RH G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNVF-CAPRICE,"HOLDEN CAPRICE (STATESMAN) 4 DOOR SEDAN WM SERIES II, WN (6G1MY5..., MZ5...) 5/13 - 10/17",HOLDEN,CAPRICE,05/13 - 10/17,2013,2017,4DR SEDAN,4,SEDAN,,,HNG1E4 LFW/GBXY,HNVE FD/LH G,HNVE FD/RH G,HNG1E FD/LH G,HNG1E FD/RH G,HNMY5 RD/LH G,HNMY5 RD/RH G,HNWM RD/LH G,HNWM RD/RH G,HNWM RD/LH G SK,HNWM RD/RH G SK,HNWM RQ/LH GY,HNWM RQ/RH GY,HN111-062-000,HN111-062-001,HN111-063-000,HN111-063-001,HNWM RW/TGHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNVE-CAPRICE,"HOLDEN STATESMAN (&CAPRICE) 4 DOOR SEDAN WM (6G1MY55..., MZ55...) 10/06 - 8/10",HOLDEN,STATESMAN,10/06 - 8/10,2006,2010,4DR SEDAN,4,SEDAN,,,HNVE LFW/GBX,HNVE LFW/GBX M,HNVEII LFW/GBX M,HNVE FD/LH G,HNVE FD/RH G,HNG1E FD/LH G,HNG1E FD/RH G,HNMY5 RD/LH G,HNMY5 RD/RH G,HNWM RD/LH G,HNWM RD/RH G,HNWM RD/LH G SK,HNWM RD/RH G SK,HNWM RQ/LH GY,HNWM RQ/RH GY,HN111-062-000,HN111-062-001,HN111-063-000,HN111-063-001,HNWM RW/TGHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNVE-CAPRICE-10,"HOLDEN CAPRICE (STATESMAN) 4 DOOR SEDAN WM SERIES II (6G1MY5..., MZ5...) 9/10 - 4/13",HOLDEN,CAPRICE,09/10 - 4/13,2010,2013,4DR SEDAN,4,SEDAN,,,HNG1E LFW/GBX,HNG1EII LFW/GBX,HNG1EII LFW/GBXY,HNVE FD/LH G,HNVE FD/RH G,HNG1E FD/LH G,HNG1E FD/RH G,HNMY5 RD/LH G,HNMY5 RD/RH G,HNWM RD/LH G,HNWM RD/RH G,HNWM RD/LH G SK,HNWM RD/RH G SK,HNWM RQ/LH GY,HNWM RQ/RH GY,HN111-062-000,HN111-062-001,HN111-063-000,HN111-063-001,HNWM RW/TGHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNG26-MAXX,HOLDEN CAPTIVA 5 DOOR CG WAGON (MAXX) (KL3CD26G) 9/06 - 2/11,HOLDEN,CAPTIVA,9/06 - 2/11,2006,2011,5DR SUV,5,SUV,,,HNG26 LFW/Y,HNG26 LFW/GBX,HNG26 LFW/MRY,HNG26 FD/LH G,HNG26 FD/RH G,HNG26 FD/LH G SK,HNG26 FD/RH G SK,HNG26 RD/LH G,HNG26 RD/RH G,HNG26 RD/LH G SK,HNG26 RD/RH G SK,HN3CD RW/TGHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNG26-SX,"HOLDEN CAPTIVA 5 DOOR CG WAGON (SX, CX & LX) (KL3CG26R, CD26R) 9/06 - 2/11",HOLDEN,CAPTIVA,9/06 - 2/11,2006,2011,5DR SUV,5,SUV,,,HNG26 LFW/Y,HNG26 LFW/GBX,HNG26 LFW/MRY,HNG26 FD/LH G,HNG26 FD/RH G,HNG26 FD/LH G SK,HNG26 FD/RH G SK,HNG26 RD/LH G,HNG26 RD/RH G,HNG26 RD/LH G SK,HNG26 RD/RH G SK,HNG26 SW/LHHX G,HNG26 SW/RHHX G,HNG26 SW/LHHX G OE,HNG26 SW/RHHX G OE,HNCD26 RW/TGHX,HNG26 RW/TGHX,HNG26 RW/TGHX SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNG26-CAPTIVA5,HOLDEN CAPTIVA-5 SERIESII WAGON 3/11 - 1/14,HOLDEN,CAPTIVA,3/11 - 1/14,2011,2014,5DR SUV,5,SUV,,,HNG26 LFW/Y,HNG26 LFW/GBX,HNG26 LFW/MRY,HNG26 FD/LH G,HNG26 FD/RH G,HNG26 FD/LH G SK,HNG26 FD/RH G SK,HNG26 RD/LH G,HNG26 RD/RH G,HNG26 RD/LH G SK,HNG26 RD/RH G SK,HN3CD RW/TGHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNG26-CAPTIVA7,HOLDEN CAPTIVA-7 SERIESII WAGON 3/11 - 1/14,HOLDEN,CAPTIVA,3/11 - 1/14,2011,2014,5DR SUV,5,SUV,,,HNG26 LFW/Y,HNG26 LFW/GBX,HNG26 LFW/MRY,HNG26 FD/LH G,HNG26 FD/RH G,HNG26 FD/LH G SK,HNG26 FD/RH G SK,HNG26 RD/LH G,HNG26 RD/RH G,HNG26 RD/LH G SK,HNG26 RD/RH G SK,HNG26 SW/LHHX G,HNG26 SW/RHHX G,HNG26 SW/LHHX G OE,HNG26 SW/RHHX G OE,HNCD26 RW/TGHX,HNG26 RW/TGHX,HNG26 RW/TGHX SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNG26-CAPTIVA5-14,HOLDEN CAPTIVA-5 SERIESII WAGON 1/14 - 12/16,HOLDEN,CAPTIVA,1/14 - 12/16,2014,2016,5DR SUV,5,SUV,,,HNG26 LFW/Y,HNG26 LFW/GBX,HNG26 LFW/MRY,HNG26 FD/LH G,HNG26 FD/RH G,HNG26 FD/LH G SK,HNG26 FD/RH G SK,HNG26 RD/LH G,HNG26 RD/RH G,HNG26 RD/LH G SK,HNG26 RD/RH G SK,HN3CD RW/TGHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNG26-CAPTIVA7-14,HOLDEN CAPTIVA-7 SERIESII WAGON 1/14 - 12/16,HOLDEN,CAPTIVA,1/14 - 12/16,2014,2016,5DR SUV,5,SUV,,,HNG26 LFW/Y,HNG26 LFW/GBX,HNG26 LFW/MRY,HNG26 FD/LH G,HNG26 FD/RH G,HNG26 FD/LH G SK,HNG26 FD/RH G SK,HNG26 RD/LH G,HNG26 RD/RH G,HNG26 RD/LH G SK,HNG26 RD/RH G SK,HNG26 SW/LHHX G,HNG26 SW/RHHX G,HNG26 SW/LHHX G OE,HNG26 SW/RHHX G OE,HNCD26 RW/TGHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNG26-CAPTIVA-16,HOLDEN CAPTIVA-7 SERIESII WAGON 12/16 - 7/17,HOLDEN,CAPTIVA,12/16 - 7/17,2016,2017,5DR SUV,5,SUV,,,HNG26I LFW/M,HNG26 FD/LH G,HNG26 FD/RH G,HNG26 FD/LH G SK,HNG26 FD/RH G SK,HNG26 RD/LH G,HNG26 RD/RH G,HNG26 RD/LH G SK,HNG26 RD/RH G SK,HNG26 SW/LHHX G,HNG26 SW/RHHX G,HNG26 SW/LHHX G OE,HNG26 SW/RHHX G OE,HNCD26 RW/TGHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNG26-CAPTIVA5-17,HOLDEN CAPTIVA 5 SEATER SERIESII WAGON 12/16 - 7/17,HOLDEN,CAPTIVA,12/16 - 7/17,2016,2017,5DR SUV,5,SUV,,,HNG26 LFW/Y,HNG26 LFW/GBX,HNG26 LFW/MRY,HNG26 FD/LH G,HNG26 FD/RH G,HNG26 FD/LH G SK,HNG26 FD/RH G SK,HNG26 RD/LH G,HNG26 RD/RH G,HNG26 RD/LH G SK,HNG26 RD/RH G SK,HN3CD RW/TGHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNG26-CAPTIVA-17,HOLDEN CAPTIVA 7 SEATER SERIESII WAGON 7/17 - 12/18,HOLDEN,CAPTIVA,7/17 - 12/18,2017,2018,5DR SUV,5,SUV,,,HNG26I LFW/M,HNG26 FD/LH G,HNG26 FD/RH G,HNG26 FD/LH G SK,HNG26 FD/RH G SK,HNG26 RD/LH G,HNG26 RD/RH G,HNG26 RD/LH G SK,HNG26 RD/RH G SK,HNG26 SW/LHHX G,HNG26 SW/RHHX G,HNG26 SW/LHHX G OE,HNG26 SW/RHHX G OE,HNCD26 RW/TGHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNKB-2D,"HOLDEN/ISUZU RODEO KB/D 28, KB/D48 1/81 - 6/88",HOLDEN,RODEO,01/81 - 06/88,1981,1988,2DR UTE,2,UTE,,,KB FD/LH C,KB FD/RH C,KB RW/TC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNMTF-2D,"HOLDEN COLORADO RC 2 DOOR SINGLE CAB (MMMTFS..., MMMTFR...) 7/08 - 12/11",HOLDEN,COLORADO,07/08 - 06/12,2008,2012,2DR UTE SINGLE CAB,2,UTE SINGLE CAB,,,RA LFW/GBX,RA LFW/M,RA LFW/MY,RA LFW/Y,RA FD/LH G,RA FD/RH G,RA FD/LH GY,RA FD/RH GY,HNRA FD/LH GY OE,HNRA FD/RH GY OE,HN203-060-001,HN203-060-000,HN203-062-001,HN203-062-000,RA RW/TGX,HNRA RW/TGX OE,RA RW/TGHX,HNRA RW/TGHX OE,RA RSW,RA RSW SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNMTF-SC,"HOLDEN COLORADO RC 2 DOOR SPACE CAB (MMMTFS..., MMMTFR...) 7/08 - 12/11",HOLDEN,COLORADO,07/08 - 06/12,2008,2012,2DR UTE SPACE CAB,2,UTE SPACE CAB,,,RA LFW/GBX,RA LFW/M,RA LFW/MY,RA LFW/Y,RA FD/LH G,RA FD/RH G,RA FD/LH GY,RA FD/RH GY,HNRA FD/LH GY OE,HNRA FD/RH GY OE,HN203-060-001,HN203-060-000,HN203-062-001,HN203-062-000,RA SW/LHX G,RA SW/RHX G,RA RW/TGX,HNRA RW/TGX OE,RA RW/TGHX,HNRA RW/TGHX OE,RA RSW,RA RSW SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNMTF-4D,"HOLDEN COLORADO RC 4 DOOR DUAL CAB (MMMTFS..., MMMTFR...) 7/08 - 12/11",HOLDEN,COLORADO,07/08 - 06/12,2008,2012,4DR UTE DUAL CAB,4,UTE DUAL CAB,,,RA LFW/GBX,RA LFW/M,RA LFW/MY,RA LFW/Y,RA FD/LH G,RA FD/RH G,RA FD/LH GY,RA FD/RH GY,HNRA FD/LH GY OE,HNRA FD/RH GY OE,HN203-060-001,HN203-060-000,HN203-062-001,HN203-062-000,RA RD/LH GY,RA RD/RH GY,HNRA RD/LH GY OE,HNRA RD/RH GY OE,RA RW/TGX,HNRA RW/TGX OE,RA RW/TGHX,HNRA RW/TGHX OE,RA RSW,RA RSW SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNU14-4D,HOLDEN COLORADO RG 4 DOOR DUAL CAB (MMU14...) 6/12 - 7/16,HOLDEN,COLORADO,6/12 - 7/16,2012,2016,4DR UTE DUAL CAB,4,UTE DUAL CAB,,,HNU14 LFW/B,HNU14 LFW/MBY,HNU14II LFW/GBX,HNU14 FD/LH G,HNU14 FD/RH G,HNU14 FD/LH GY,HNU14 FD/RH GY,HNU14 FD/LH GY SK,HNU14 FD/RH GY SK,HNU14 RD/LH GY,HNU14 RD/RH GY,HNU14 RD/LH GY SK,HNU14 RD/RH GY SK,HNU14 RW/TGHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNU14-SC,HOLDEN COLORADO RG 2 DOOR SPACE CAB (MMU14...) 6/12 - 7/16,HOLDEN,COLORADO,6/12 - 7/16,2012,2016,2DR UTE SPACE CAB,2,UTE SPACE CAB,,,HNU14 LFW/B,HNU14 LFW/MBY,HNU14II LFW/GBX,HNU14 FD/LH G,HNU14 FD/RH G,HNU14 FD/LH GY,HNU14 FD/RH GY,HNU14 FD/LH GY SK,HNU14 FD/RH GY SK,HNU14 SW/LHX G,HNU14 SW/RHX G,HNU14 RW/TGHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNU14-2D,HOLDEN COLORADO RG 2 DOOR SINGLE CAB (MMU14...) 6/12 - 7/16,HOLDEN,COLORADO,6/12 - 7/16,2012,2016,2DR UTE SINGLE CAB,2,UTE SINGLE CAB,,,HNU14 LFW/B,HNU14 LFW/MBY,HNU14II LFW/GBX,HNU14 FD/LH G,HNU14 FD/RH G,HNU14 FD/LH GY,HNU14 FD/RH GY,HNU14 FD/LH GY SK,HNU14 FD/RH GY SK,HNU14 RW/TGHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNU14-SC-16,HOLDEN COLORADO RG 2 DOOR SPACE CAB (MMU14...) 7/16 on,HOLDEN,COLORADO,7/16 on,2016,2021,2DR UTE SPACE CAB,2,UTE SPACE CAB,,,HNU14 LFW/MROY,HNU14 FD/LH G,HNU14 FD/RH G,HNU14 FD/LH GY,HNU14 FD/RH GY,HNU14 FD/LH GY SK,HNU14 FD/RH GY SK,HNU14 SW/LHX G,HNU14 SW/RHX G,HNU14 RW/TGHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNU14-2D-16,HOLDEN COLORADO RG 2 DOOR SINGLE CAB (MMU14...) 7/16 on,HOLDEN,COLORADO,7/16 on,2016,2021,2DR UTE SINGLE CAB,2,UTE SINGLE CAB,,,HNU14 LFW/MROY,HNU14 FD/LH G,HNU14 FD/RH G,HNU14 FD/LH GY,HNU14 FD/RH GY,HNU14 FD/LH GY SK,HNU14 FD/RH GY SK,HNU14 RW/TGHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNU14-4D-16,HOLDEN COLORADO RG 4 DOOR DUAL CAB (MMU14...) 7/16 on,HOLDEN,COLORADO,7/16 on,2016,2021,4DR UTE DUAL CAB,4,UTE DUAL CAB,,,HNU14 LFW/MROY,HNU14 FD/LH G,HNU14 FD/RH G,HNU14 FD/LH GY,HNU14 FD/RH GY,HNU14 FD/LH GY SK,HNU14 FD/RH GY SK,HNU14 RD/LH GY,HNU14 RD/RH GY,HNU14 RD/LH GY SK,HNU14 RD/RH GY SK,HNU14 RW/TGHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNU14-COL7,HOLDEN COLORADO-7 4 DOOR WAGON (MMU15 ... ) 11/12 - 07/16,HOLDEN,COLORADO 7,11/12 - 07/16,2012,2016,5DR SUV,5,SUV,,,HNU14 LFW/B,HNU14 LFW/MBY,HNU14II LFW/GBX,HNU14 FD/LH G,HNU14 FD/RH G,HNU14 FD/LH GY,HNU14 FD/RH GY,HNU14 FD/LH GY SK,HNU14 FD/RH GY SK,HNU15 RD/LH GY,HNU15 RD/RH GY,HNU15 RD/LH PY,HNU15 RD/RH PY,HNU15 RQ/LH G,HNU15 RQ/RH G,HNU15 RQ/LH P,HNU15 RQ/RH P,HNU15 RW/TGHX,HNU15 RW/TPHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNACC,HOLDEN COMBO 2 DOOR VAN AC (XC) (WOLOXCF25) 9/02 - 12/12,HOLDEN,COMBO,09/02 - 12/12,2002,2012,2DR VAN,2,VAN,,,HNACC LFW/GBX,HNAC LFW/GBX,HNACC FD/LH G,HNACC FD/RH G,HNACC SF/LHX G,HC2FLX,HC2FRX,HC2RLX,HC2RRX,HNACC RW/LHHX G,HNACC RW/RHHX G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNSBC,HOLDEN COMBO VAN (WOLO5BF25) 3/96 - 8/02,HOLDEN,COMBO,04/94 - 12/00,1994,2000,2DR VAN,2,VAN,,,HNSB LFW/GBX,HNSB5H FD/LH G,HNSB5H FD/RH G,CHC1AL,CHC1AR,CHC1BL,CHC1BR,HNSBC RW/LHX G,HNSBC RW/RHX G,HNSBC RW/LHHX G,HNSBC RW/RHHX G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNG1EII,"HOLDEN COMMODORE VE SERIES SDN, WGN UTE 09/10 - 05/13",HOLDEN,COMMODORE,09/10 - 05/13,2010,2013,4DR SEDAN,4,SEDAN,,,HNG1EII LFW/MQY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNG1EII-1,"HOLDEN COMMODORE VE SERIES SDN, WGN UTE 09/10 - 05/13",HOLDEN,COMMODORE,09/10 - 05/13,2010,2013,5DR WAGON,5,WAGON,,,HNG1EII LFW/MQY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNG1EII-2,"HOLDEN COMMODORE VE SERIES SDN, WGN UTE 09/10 - 05/13",HOLDEN,COMMODORE,09/10 - 05/13,2010,2013,2DR UTE,2,UTE,,,HNG1EII LFW/MQY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNVN-SDN,HOLDEN COMMODORE VN SEDAN 9/88 - 10/91,HOLDEN,COMMODORE,09/88 - 10/91,1988,1991,4DR SEDAN,4,SEDAN,,,VN-VRI LFW/GBX,HNVN FD/LHX G,HNVN FD/RHX G,HNVN FD/LHX GY,HNVN FD/RHX GY,HN104-060-001,HN104-060-000,HN104-062-001,HN104-062-000,HNVNS RD/LHX G,HNVNS RD/RHX G,HNVNS RD/LHX GY,HNVNS RD/RHX GY,HNVNS RQ/LHX G,HNVNS RQ/RHX G,HNVNS OW/LHX 2GY,HNVNS OW/RHX 2GY,HNVNSI OW/LHX 2GY,HNVNSI OW/RHX 2GY,HNVNS RW/TGHX,HNVNS RWM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNVR-SDN,HOLDEN COMMODORE VR SEDAN 7/93 - 9/94,HOLDEN,COMMODORE,7/93 - 9/94,1993,1994,4DR SEDAN,4,SEDAN,,,VN-VRI LFW/GBX,HNVN FD/LHX G,HNVN FD/RHX G,HNVN FD/LHX GY,HNVN FD/RHX GY,HN104-060-001,HN104-060-000,HN104-062-001,HN104-062-000,HNVNS RD/LHX G,HNVNS RD/RHX G,HNVNS RD/LHX GY,HNVNS RD/RHX GY,HNVNS RQ/LHX G,HNVNS RQ/RHX G,HNVSS OW/LHX 2GY,HNVSS OW/RHX 2GY,HNVSSI OW/LHX 2GY,HNVSSI OW/RHX 2GY,HNVSS RW/TGHX,HNVSS RWM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNVN-WGN,HOLDEN COMMODORE VN WAGON 9/88 - 10/91,HOLDEN,COMMODORE,09/88 - 10/91,1988,1991,5DR WAGON,5,WAGON,,,VN-VRI LFW/GBX,HNVN FD/LHX G,HNVN FD/RHX G,HNVN FD/LHX GY,HNVN FD/RHX GY,HN104-060-001,HN104-060-000,HN104-062-001,HN104-062-000,HNVNW RD/LHX GY,HNVNW RD/RHX GY,HNVNW SW/LHX 2GY,HNVNW SW/RHX 2GY,HNVNW RW/TGHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
